Date,Open,High,Low,Close,Volume,Adj Close
5/2/2006,11345.20996,11427.65039,11345.12988,11416.4502,335420000,11416.4502
5/1/2006,11367.78027,11428.37012,11329.44043,11343.29004,365970000,11343.29004
4/28/2006,11358.33008,11417.66016,11347.20996,11367.13965,738440000,11367.13965
4/27/2006,11349.53027,11416.92969,11275.29981,11382.50977,361740000,11382.50977
4/26/2006,11283.25,11379.87012,11282.76953,11354.49023,270270000,11354.49023
4/25/2006,11336.55957,11355.37012,11260.83984,11283.25,289230000,11283.25
4/24/2006,11346.80957,11359.7002,11305.83008,11336.32031,232000000,11336.32031
4/21/2006,11343.4502,11405.87988,11316.79004,11347.4502,325090000,11347.4502
4/20/2006,11278.53027,11384.11035,11275.04981,11342.88965,336420000,11342.88965
4/19/2006,11265.40039,11302.9502,11236.19043,11278.76953,292280000,11278.76953
4/18/2006,11074.58008,11280.4502,11074.58008,11268.76953,309660000,11268.76953
4/17/2006,11137.33008,11159.99023,11039.12012,11073.78027,239730000,11073.78027
4/13/2006,11130.12988,11178.40039,11105.79981,11137.65039,230870000,11137.65039
4/12/2006,11089.46973,11144.13965,11087.46973,11129.96973,212590000,11129.96973
4/11/2006,11141.33008,11186.63965,11053.16992,11089.62988,266080000,11089.62988
4/10/2006,11119.87988,11185.54004,11117.08008,11141.33008,207380000,11141.33008
4/7/2006,11217.13965,11269.29981,11108.01953,11120.04004,256290000,11120.04004
4/6/2006,11233.00977,11246.91016,11167.03027,11216.5,240370000,11216.5
4/5/2006,11203.20996,11250.99023,11169.34961,11239.54981,250190000,11239.54981
4/4/2006,11142.54004,11226.98047,11123.57031,11203.84961,246950000,11203.84961
4/3/2006,11113,11247.87012,11113,11144.94043,278440000,11144.94043
3/31/2006,11151.33984,11191.36035,11105.65039,11109.32031,317000000,11109.32031
3/30/2006,11216.33984,11259.16016,11117.63965,11150.7002,276900000,11150.7002
3/29/2006,11154.94043,11244.34961,11154.94043,11215.7002,279470000,11215.7002
3/28/2006,11250.11035,11281.76953,11145.01953,11154.54004,272490000,11154.54004
3/27/2006,11280.12988,11280.4502,11229.86035,11250.11035,226240000,11250.11035
3/24/2006,11270.61035,11316.08984,11244.03027,11279.96973,240800000,11279.96973
3/23/2006,11317.34961,11327.2002,11237.15039,11270.29004,292420000,11270.29004
3/22/2006,11234.50977,11328.79981,11226.41992,11317.42969,342980000,11317.42969
3/21/2006,11275.88965,11334.95996,11221.54004,11235.46973,331800000,11235.46973
3/20/2006,11278.92969,11308.38965,11259.79981,11274.53027,247410000,11274.53027
3/17/2006,11254.12012,11290.07031,11254.12012,11279.65039,480830000,11279.65039
3/16/2006,11210.96973,11282.4502,11210.57031,11253.24023,306150000,11253.24023
3/15/2006,11149.75977,11226.74023,11138.92969,11209.76953,274740000,11209.76953
3/14/2006,11076.01953,11161.34961,11058.65039,11151.33984,251560000,11151.33984
3/13/2006,11067.61035,11116.67969,11056.33008,11076.01953,251020000,11076.01953
3/10/2006,10972.91992,11098.99023,10972.91992,11076.33984,257440000,11076.33984
3/9/2006,11005.66016,11049.12012,10963.87988,10972.28027,266390000,10972.28027
3/8/2006,10977.08008,11026.70996,10922.73047,11005.74023,276610000,11005.74023
3/7/2006,10957.30957,10989.00977,10928.74023,10980.69043,284770000,10980.69043
3/6/2006,11022.46973,11037.12012,10929.21973,10958.58984,292510000,10958.58984
3/3/2006,11024.23047,11106.67969,10984.61035,11021.58984,365750000,11021.58984
3/2/2006,11052.57031,11052.57031,10986.04981,11025.50977,274280000,11025.50977
3/1/2006,10993.25,11069.37988,10991.96973,11053.53027,270620000,11053.53027
2/28/2006,11096.75,11100.19043,10978.61035,10993.41016,325450000,10993.41016
2/27/2006,11062.80957,11132.61035,11061.73047,11097.54981,268610000,11097.54981
2/24/2006,11065.76953,11085.54004,11010.21973,11061.84961,247270000,11061.84961
2/23/2006,11133.51953,11135.88965,11052.73047,11069.21973,270410000,11069.21973
2/22/2006,11065.29004,11159.17969,11060.33008,11137.16992,337280000,11137.16992
2/21/2006,11115.48047,11140.76953,11050.80957,11069.05957,270410000,11069.05957
2/17/2006,11119.55957,11131.9502,11077.7002,11115.32031,329160000,11115.32031
2/16/2006,11059.04981,11120.75977,11046.40039,11120.67969,302980000,11120.67969
2/15/2006,11025.66992,11068.74023,10989.71973,11058.96973,298850000,11058.96973
2/14/2006,10890.71973,11047.67969,10890.71973,11028.38965,307060000,11028.38965
2/13/2006,10915.20996,10939.86035,10849.88965,10892.32031,244330000,10892.32031
