日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/10/03,"28,106,086","2,019,549,226",71.80,72.20,71.50,72.00,-0.30,"13,528"
108/10/04,"18,814,662","1,360,137,603",72.20,72.70,72.00,72.70,+0.70,"9,549"
108/10/07,"25,366,095","1,866,993,860",73.40,74.00,73.20,73.40,+0.70,"11,706"
108/10/08,"28,493,260","2,105,351,412",73.90,74.20,73.50,74.00,+0.60,"11,091"
108/10/09,"18,869,984","1,382,827,132",73.50,73.80,72.90,72.90,-1.10,"7,885"
108/10/14,"48,248,401","3,583,251,274",74.30,74.50,73.80,74.50,+1.60,"15,732"
108/10/15,"39,991,555","2,995,659,383",75.00,75.40,74.50,74.70,+0.20,"12,889"
108/10/16,"35,414,100","2,656,399,981",75.40,75.40,74.70,75.00,+0.30,"12,317"
108/10/17,"81,667,038","6,223,362,226",75.30,77.50,75.00,77.20,+2.20,"32,370"
108/10/18,"79,307,262","6,135,246,690",77.60,78.20,76.90,76.90,-0.30,"22,232"
108/10/21,"32,659,971","2,517,240,178",77.20,77.60,76.40,77.60,+0.70,"12,693"
108/10/22,"84,257,950","6,668,430,797",78.50,79.80,78.40,79.50,+1.90,"34,399"
108/10/23,"89,180,610","7,144,162,167",80.00,80.90,79.10,80.50,+1.00,"33,358"
108/10/24,"40,227,260","3,240,812,274",80.90,81.20,80.20,80.50, 0.00,"16,658"
108/10/25,"35,866,261","2,871,800,127",80.70,80.70,79.60,80.20,-0.30,"14,070"
108/10/28,"24,589,303","1,976,884,140",80.50,80.80,80.00,80.10,-0.10,"11,179"
108/10/29,"43,338,927","3,501,791,877",80.10,81.40,80.10,80.80,+0.70,"18,579"
108/10/30,"31,199,154","2,503,835,220",80.90,80.90,79.70,80.20,-0.60,"12,486"
108/10/31,"39,615,853","3,205,652,611",81.00,81.40,80.60,80.60,+0.40,"15,447"
108/11/01,"126,495,985","10,516,290,118",81.40,84.80,80.90,84.80,+4.20,"54,653"
108/11/04,"157,046,158","13,788,215,938",86.10,89.10,86.10,89.00,+4.20,"69,524"
108/11/05,"114,554,576","10,282,369,664",90.00,90.40,89.10,90.00,+1.00,"49,127"
108/11/06,"102,692,823","9,247,509,770",90.50,90.90,88.90,90.40,+0.40,"43,449"
108/11/07,"91,907,245","8,308,738,401",90.40,91.00,89.80,90.80,+0.40,"36,793"
108/11/08,"107,939,604","9,898,925,887",91.20,92.90,90.90,90.90,+0.10,"48,100"
108/11/11,"113,464,283","10,036,725,149",91.00,91.30,86.70,87.90,-3.00,"47,982"
108/11/12,"87,919,854","7,892,657,442",89.10,91.00,88.70,91.00,+3.10,"37,303"
108/11/13,"53,336,137","4,788,176,972",90.00,90.60,89.20,89.70,-1.30,"23,412"
108/11/14,"89,212,854","8,050,458,022",91.40,91.40,89.30,89.30,-0.40,"30,500"
108/11/15,"43,552,570","3,928,041,685",90.70,90.80,89.80,90.10,+0.80,"18,749"
108/11/18,"35,921,688","3,244,631,720",90.10,90.70,89.90,90.50,+0.40,"14,611"
108/11/19,"109,575,561","10,092,721,829",90.50,92.80,90.30,92.80,+2.30,"47,352"
108/11/20,"44,527,871","4,089,310,578",92.80,92.80,91.20,91.90,-0.90,"20,426"
108/11/21,"52,752,786","4,825,030,164",91.20,92.50,90.70,92.50,+0.60,"20,606"
108/11/22,"30,090,529","2,765,280,631",93.00,93.00,91.30,91.40,-1.10,"15,802"
108/11/25,"56,144,076","5,046,637,379",91.60,91.60,89.00,89.60,-1.80,"24,137"
108/11/26,"74,419,119","6,692,787,107",90.40,90.40,89.40,89.90,+0.30,"14,304"
108/11/27,"21,007,877","1,895,290,466",89.60,90.80,89.60,90.60,+0.70,"10,282"
108/11/28,"19,363,801","1,748,262,807",90.60,90.70,89.70,89.80,-0.80,"9,626"
108/11/29,"37,756,546","3,364,546,289",90.00,90.50,88.20,88.50,-1.30,"16,445"
108/12/02,"31,236,074","2,746,751,820",88.60,89.30,86.80,88.60,+0.10,"14,896"
108/12/03,"34,645,279","3,100,405,770",88.30,90.30,87.80,90.00,+1.40,"14,042"
108/12/04,"26,034,634","2,322,526,955",90.00,90.00,88.70,89.50,-0.50,"9,926"
108/12/05,"19,851,813","1,788,613,637",90.00,90.70,89.60,89.90,+0.40,"9,419"
108/12/06,"20,657,992","1,864,481,080",90.60,90.90,89.70,90.50,+0.60,"10,122"
108/12/09,"39,013,354","3,554,471,708",90.80,91.70,90.30,91.00,+0.50,"16,974"
108/12/10,"14,192,519","1,282,178,710",90.50,90.80,90.10,90.30,-0.70,"6,932"
108/12/11,"32,362,218","2,944,889,438",90.50,91.30,90.40,91.30,+1.00,"14,049"
108/12/12,"32,664,180","2,991,238,892",92.00,92.20,91.00,91.00,-0.30,"13,263"
108/12/13,"33,488,249","3,060,261,787",92.00,92.00,90.90,91.00, 0.00,"15,711"
108/12/16,"34,055,107","3,121,729,569",91.50,92.40,91.10,91.60,+0.60,"14,433"
108/12/17,"31,166,098","2,846,439,695",91.80,91.90,91.10,91.60, 0.00,"12,212"
108/12/18,"58,840,462","5,427,958,104",91.60,92.80,91.10,92.40,+0.80,"24,632"
108/12/19,"28,904,382","2,653,486,845",92.00,92.20,91.30,92.20,-0.20,"11,949"
108/12/20,"39,064,336","3,573,523,990",92.50,92.60,91.10,91.10,-1.10,"11,011"
108/12/23,"17,511,564","1,595,581,554",91.30,91.70,90.70,91.50,+0.40,"8,301"
108/12/24,"11,775,451","1,072,386,883",91.50,91.50,90.80,90.90,-0.60,"5,935"
108/12/25,"11,310,473","1,029,248,360",91.10,91.30,90.80,91.00,+0.10,"6,353"
108/12/26,"10,097,183","917,789,491",91.00,91.30,90.70,90.80,-0.20,"5,517"
108/12/27,"20,188,995","1,848,289,316",91.40,91.90,91.10,91.50,+0.70,"8,406"
108/12/30,"15,811,376","1,442,350,252",91.60,91.80,90.90,90.90,-0.60,"6,646"
108/12/31,"14,491,239","1,317,119,661",90.70,91.40,90.70,90.80,-0.10,"6,530"
